"population","period","HW","date","julian","CPUE"
"Quillayute","Current","Wild",1954-11-23,-38,0.681318059836228
"Quillayute","Current","Wild",1954-11-30,-31,0.4140208200208
"Quillayute","Current","Wild",1954-12-07,-24,0.564647684638622
"Quillayute","Current","Wild",1954-12-14,-17,0.803529195605566
"Quillayute","Current","Wild",1954-12-21,-10,1.82162182181531
"Quillayute","Current","Wild",1954-12-28,-3,1.71865402874729
"Quillayute","Current","Wild",1955-01-04,4,3.56636724165946
"Quillayute","Current","Wild",1955-01-11,11,4.24814295980744
"Quillayute","Current","Wild",1955-01-18,18,4.82659154826774
"Quillayute","Current","Wild",1955-01-25,25,5.34873616579331
"Quillayute","Current","Wild",1955-02-01,32,5.30568527709185
"Quillayute","Current","Wild",1955-02-08,39,6.25941849622272
"Quillayute","Current","Wild",1955-02-15,46,6.3931633030286
"Quillayute","Current","Wild",1955-02-22,53,7.68828496152191
"Quillayute","Current","Wild",1955-03-01,60,6.47844766121456
"Quillayute","Current","Wild",1955-03-08,67,7.43363923779749
"Quillayute","Current","Wild",1955-03-15,74,7.77324646084076
"Quillayute","Current","Wild",1955-03-22,81,7.67308760192063
"Quillayute","Current","Wild",1955-03-29,88,6.78132159754746
"Quillayute","Current","Wild",1955-04-05,95,8.56263729897974
"Quillayute","Current","Wild",1955-04-12,102,3.3486583190558
"Quillayute","Current","Wild",1955-04-19,109,3.6421517656924
"Quillayute","Current","Wild",1955-04-26,116,2.25648282751153
"Quillayute","Current","Wild",1955-05-03,123,2.07069314747124
"Quillayute","Current","Hatchery",1954-11-23,-38,12.1520028469453
"Quillayute","Current","Hatchery",1954-11-30,-31,7.43163391406986
"Quillayute","Current","Hatchery",1954-12-07,-24,9.38229513380791
"Quillayute","Current","Hatchery",1954-12-14,-17,10.4706499220237
"Quillayute","Current","Hatchery",1954-12-21,-10,12.8155555289661
"Quillayute","Current","Hatchery",1954-12-28,-3,8.754197094057
"Quillayute","Current","Hatchery",1955-01-04,4,7.98475814990564
"Quillayute","Current","Hatchery",1955-01-11,11,4.28789388650843
"Quillayute","Current","Hatchery",1955-01-18,18,2.37071356876661
"Quillayute","Current","Hatchery",1955-01-25,25,1.45762921940122
"Quillayute","Current","Hatchery",1955-02-01,32,1.04277455620538
"Quillayute","Current","Hatchery",1955-02-08,39,0.591453706457857
"Quillayute","Current","Hatchery",1955-02-15,46,0.232650302356372
"Quillayute","Current","Hatchery",1955-02-22,53,0.217081972415566
"Quillayute","Current","Hatchery",1955-03-01,60,0.140520176364438
"Quillayute","Current","Hatchery",1955-03-08,67,0.0990008438457071
"Quillayute","Current","Hatchery",1955-03-15,74,0.0698294766394701
"Quillayute","Current","Hatchery",1955-03-22,81,0.0216018834572957
"Quillayute","Current","Hatchery",1955-03-29,88,0.0845775726786571
"Quillayute","Current","Hatchery",1955-04-05,95,-0.00053504557110196
"Quillayute","Current","Hatchery",1955-04-12,102,0.0265731842673569
"Quillayute","Current","Hatchery",1955-04-19,109,0.0213194628660001
"Quillayute","Current","Hatchery",1955-04-26,116,0.0245985153833533
"Quillayute","Current","Hatchery",1955-05-03,123,0.0425489620567107
"Hoh","Current","Wild",1954-11-30,-31,0.875853677525208
"Hoh","Current","Wild",1954-12-07,-24,1.48410768536243
"Hoh","Current","Wild",1954-12-14,-17,2.11864812716907
"Hoh","Current","Wild",1954-12-21,-10,3.600327180787
"Hoh","Current","Wild",1954-12-28,-3,5.07024651953695
"Hoh","Current","Wild",1955-01-04,4,4.89969795898548
"Hoh","Current","Wild",1955-01-11,11,6.11818136961768
"Hoh","Current","Wild",1955-01-18,18,6.26624445341365
"Hoh","Current","Wild",1955-01-25,25,7.416126985615
"Hoh","Current","Wild",1955-02-01,32,14.4858150419497
"Hoh","Current","Wild",1955-02-08,39,13.2697790335468
"Hoh","Current","Wild",1955-02-15,46,17.3091963574825
"Hoh","Current","Wild",1955-02-22,53,20.0042227480942
"Hoh","Current","Wild",1955-03-01,60,22.2863897039994
"Hoh","Current","Wild",1955-03-08,67,26.3840975157782
"Hoh","Current","Wild",1955-03-15,74,17.0667680943276
"Hoh","Current","Wild",1955-03-22,81,17.9839920295496
"Hoh","Current","Wild",1955-03-29,88,28.1775054786133
"Hoh","Current","Wild",1955-04-05,95,26.3215488334994
"Hoh","Current","Wild",1955-04-19,109,2.27341788366998
"Hoh","Current","Wild",1955-04-26,116,8.8706983032388
"Hoh","Current","Wild",1955-05-03,123,4.0097287793163
"Hoh","Current","Hatchery",1954-11-30,-31,34.1994273658806
"Hoh","Current","Hatchery",1954-12-07,-24,23.8925807325456
"Hoh","Current","Hatchery",1954-12-14,-17,36.3685387139456
"Hoh","Current","Hatchery",1954-12-21,-10,34.4102263862896
"Hoh","Current","Hatchery",1954-12-28,-3,41.2208400180568
"Hoh","Current","Hatchery",1955-01-04,4,32.3440286637186
"Hoh","Current","Hatchery",1955-01-11,11,25.298320153433
"Hoh","Current","Hatchery",1955-01-18,18,15.0652071387413
"Hoh","Current","Hatchery",1955-01-25,25,10.2314891576043
"Hoh","Current","Hatchery",1955-02-01,32,15.1125957272161
"Hoh","Current","Hatchery",1955-02-08,39,8.57431566952065
"Hoh","Current","Hatchery",1955-02-15,46,6.88419011417812
"Hoh","Current","Hatchery",1955-02-22,53,4.01319442452857
"Hoh","Current","Hatchery",1955-03-01,60,2.41469272391542
"Hoh","Current","Hatchery",1955-03-08,67,1.380298010051
"Hoh","Current","Hatchery",1955-03-15,74,0.412966533668288
"Hoh","Current","Hatchery",1955-03-22,81,0.389512122450205
"Hoh","Current","Hatchery",1955-03-29,88,0.325806508199227
"Hoh","Current","Hatchery",1955-04-05,95,0.472525185019037
"Hoh","Current","Hatchery",1955-04-19,109,1.79778626076358
"Hoh","Current","Hatchery",1955-04-26,116,0.0986653993338952
"Hoh","Current","Hatchery",1955-05-03,123,0.0986653993338947
"Queets","Current","Wild",1954-11-30,-31,0.118404386381904
"Queets","Current","Wild",1954-12-07,-24,0.214346670890956
"Queets","Current","Wild",1954-12-14,-17,0.301065152887804
"Queets","Current","Wild",1954-12-21,-10,0.283521162343399
"Queets","Current","Wild",1954-12-28,-3,0.93224090282224
"Queets","Current","Wild",1955-01-04,4,1.32051326603607
"Queets","Current","Wild",1955-01-11,11,1.49196480668355
"Queets","Current","Wild",1955-01-18,18,2.30744340843601
"Queets","Current","Wild",1955-01-25,25,2.33833062183209
"Queets","Current","Wild",1955-02-01,32,2.76854280736149
"Queets","Current","Wild",1955-02-08,39,3.17490980633805
"Queets","Current","Wild",1955-02-15,46,3.84193400091959
"Queets","Current","Wild",1955-02-22,53,4.66477786866308
"Queets","Current","Wild",1955-03-01,60,4.61379036866216
"Queets","Current","Wild",1955-03-08,67,6.14372212039453
"Queets","Current","Wild",1955-03-15,74,6.17667664430816
"Queets","Current","Wild",1955-03-22,81,7.14521710658779
"Queets","Current","Wild",1955-03-29,88,7.51713818153478
"Queets","Current","Wild",1955-04-05,95,6.23153224755516
"Queets","Current","Wild",1955-04-12,102,5.73124726883165
"Queets","Current","Wild",1955-04-19,109,4.85189818477615
"Queets","Current","Wild",1955-04-26,116,4.13118213910716
"Queets","Current","Wild",1955-05-03,123,4.10612249676838
"Queets","Current","Hatchery",1954-11-30,-31,1.61694495905234
"Queets","Current","Hatchery",1954-12-07,-24,4.67248647771305
"Queets","Current","Hatchery",1954-12-14,-17,4.84481312786529
"Queets","Current","Hatchery",1954-12-21,-10,6.73883126955012
"Queets","Current","Hatchery",1954-12-28,-3,6.47902795521886
"Queets","Current","Hatchery",1955-01-04,4,4.19706182712962
"Queets","Current","Hatchery",1955-01-11,11,3.10136669406174
"Queets","Current","Hatchery",1955-01-18,18,1.75771379465591
"Queets","Current","Hatchery",1955-01-25,25,1.32711001627319
"Queets","Current","Hatchery",1955-02-01,32,0.433656025398156
"Queets","Current","Hatchery",1955-02-08,39,0.344867945839942
"Queets","Current","Hatchery",1955-02-15,46,0.0973776241699451
"Queets","Current","Hatchery",1955-02-22,53,0.0263945845169498
"Queets","Current","Hatchery",1955-03-01,60,0.0617216712828129
"Queets","Current","Hatchery",1955-03-08,67,0.00876037146175547
"Queets","Current","Hatchery",1955-03-15,74,0.00876037146175509
"Queets","Current","Hatchery",1955-03-22,81,0.00876037146175625
"Queets","Current","Hatchery",1955-03-29,88,0.00876037146175475
"Queets","Current","Hatchery",1955-04-05,95,0.00876037146175553
"Queets","Current","Hatchery",1955-04-12,102,0.00876037146175514
"Queets","Current","Hatchery",1955-04-19,109,0.00876037146175518
"Queets","Current","Hatchery",1955-04-26,116,0.0087603714617547
"Queets","Current","Hatchery",1955-05-03,123,0.00270997000192154
"Quillayute","Historic","Wild",1954-11-18,-44,2.5
"Quillayute","Historic","Wild",1954-11-23,-39,2.39
"Quillayute","Historic","Wild",1954-11-28,-34,3.01
"Quillayute","Historic","Wild",1954-12-03,-29,2.73
"Quillayute","Historic","Wild",1954-12-08,-24,3.59
"Quillayute","Historic","Wild",1954-12-13,-19,3.63
"Quillayute","Historic","Wild",1954-12-18,-14,3.7
"Quillayute","Historic","Wild",1954-12-23,-9,3.96
"Quillayute","Historic","Wild",1954-12-28,-4,4.99
"Quillayute","Historic","Wild",1955-01-02,1,5
"Quillayute","Historic","Wild",1955-01-07,6,10.26
"Quillayute","Historic","Wild",1955-01-12,11,6.72
"Quillayute","Historic","Wild",1955-01-17,16,7.4
"Quillayute","Historic","Wild",1955-01-22,21,6.38
"Quillayute","Historic","Wild",1955-01-27,26,5.44
"Quillayute","Historic","Wild",1955-02-01,31,6.08
"Quillayute","Historic","Wild",1955-02-06,36,5.75
"Quillayute","Historic","Wild",1955-02-11,41,6.39
"Quillayute","Historic","Wild",1955-02-16,46,6
"Quillayute","Historic","Wild",1955-02-21,51,6.48
"Quillayute","Historic","Wild",1955-02-26,56,5.21
"Quillayute","Historic","Wild",1955-03-03,61,4.61
"Quillayute","Historic","Wild",1955-03-08,66,4.08
"Quillayute","Historic","Wild",1955-03-13,71,4.1
"Quillayute","Historic","Wild",1955-03-18,76,4.9
"Quillayute","Historic","Wild",1955-03-23,81,6.26
"Quillayute","Historic","Wild",1955-03-28,86,6.77
"Hoh","Historic","Wild",1954-11-12,-50,2.2
"Hoh","Historic","Wild",1954-11-17,-45,2.3
"Hoh","Historic","Wild",1954-11-22,-40,3
"Hoh","Historic","Wild",1954-11-27,-35,3.8
"Hoh","Historic","Wild",1954-12-02,-30,3.8
"Hoh","Historic","Wild",1954-12-07,-25,3.95
"Hoh","Historic","Wild",1954-12-12,-20,4.18
"Hoh","Historic","Wild",1954-12-17,-15,4.5
"Hoh","Historic","Wild",1954-12-22,-10,4.45
"Hoh","Historic","Wild",1954-12-27,-5,5.4
"Hoh","Historic","Wild",1955-01-01,0,4.25
"Hoh","Historic","Wild",1955-01-06,5,3.67
"Hoh","Historic","Wild",1955-01-11,10,3.3
"Hoh","Historic","Wild",1955-01-16,15,2.78
"Hoh","Historic","Wild",1955-01-21,20,3
"Hoh","Historic","Wild",1955-01-26,25,2.38
"Hoh","Historic","Wild",1955-02-01,31,2.83
"Hoh","Historic","Wild",1955-02-05,35,2.88
"Hoh","Historic","Wild",1955-02-10,40,2.81
"Hoh","Historic","Wild",1955-02-15,45,3
"Hoh","Historic","Wild",1955-02-20,50,3.68
"Hoh","Historic","Wild",1955-02-25,55,2.8
"Hoh","Historic","Wild",1955-03-02,60,2.75
"Hoh","Historic","Wild",1955-03-07,65,2.5
"Hoh","Historic","Wild",1955-03-12,70,2.4
"Queets","Historic","Wild",1954-12-03,-29,3.09
"Queets","Historic","Wild",1954-12-08,-24,2.5
"Queets","Historic","Wild",1954-12-13,-19,2.66
"Queets","Historic","Wild",1954-12-18,-14,3.58
"Queets","Historic","Wild",1954-12-23,-9,3.53
"Queets","Historic","Wild",1954-12-28,-4,3.14
"Queets","Historic","Wild",1955-01-02,1,2.9
"Queets","Historic","Wild",1955-01-07,6,3.22
"Queets","Historic","Wild",1955-01-12,11,4.36
"Queets","Historic","Wild",1955-01-17,16,3.9
"Queets","Historic","Wild",1955-01-22,21,2.93
"Queets","Historic","Wild",1955-01-27,26,3.56
"Queets","Historic","Wild",1955-02-01,31,4.11
"Queets","Historic","Wild",1955-02-06,36,3.8
"Queets","Historic","Wild",1955-02-11,41,3.67
"Queets","Historic","Wild",1955-02-16,46,3.2
"Queets","Historic","Wild",1955-02-21,51,3.18
"Queets","Historic","Wild",1955-02-26,56,2.85
"Queets","Historic","Wild",1955-03-03,61,2.6
"Queets","Historic","Wild",1955-03-08,66,3.02
"Quinalt","Historic","Wild",1954-11-18,-44,1.6
"Quinalt","Historic","Wild",1954-11-23,-39,2.95
"Quinalt","Historic","Wild",1954-11-28,-34,3.32
"Quinalt","Historic","Wild",1954-12-03,-29,3.95
"Quinalt","Historic","Wild",1954-12-08,-24,3.3
"Quinalt","Historic","Wild",1954-12-13,-19,3.96
"Quinalt","Historic","Wild",1954-12-18,-14,4.17
"Quinalt","Historic","Wild",1954-12-23,-9,6
"Quinalt","Historic","Wild",1954-12-28,-4,6.15
"Quinalt","Historic","Wild",1955-01-02,1,6.42
"Quinalt","Historic","Wild",1955-01-07,6,6.15
"Quinalt","Historic","Wild",1955-01-12,11,6.2
"Quinalt","Historic","Wild",1955-01-17,16,4.11
"Quinalt","Historic","Wild",1955-01-22,21,6.65
"Quinalt","Historic","Wild",1955-01-27,26,5.08
"Quinalt","Historic","Wild",1955-02-01,31,4.88
"Quinalt","Historic","Wild",1955-02-06,36,4.61
"Quinalt","Historic","Wild",1955-02-11,41,5.7
"Quinalt","Historic","Wild",1955-02-16,46,5.31
"Quinalt","Historic","Wild",1955-02-21,51,4.77
"Quinalt","Historic","Wild",1955-02-26,56,4.2
"Quinalt","Historic","Wild",1955-03-03,61,4.56
"Quinalt","Historic","Wild",1955-03-08,66,4.53
"Quinalt","Historic","Wild",1955-03-13,71,5.46
"Quinalt","Historic","Wild",1955-03-18,76,5.18
"Quinalt","Historic","Wild",1955-03-23,81,4.09
"Quinalt","Historic","Wild",1955-03-28,86,3.81
"Quinalt","Historic","Wild",1955-04-02,91,3
"Quinalt","Historic","Wild",1955-04-07,96,2.82
"Quinalt","Historic","Wild",1955-04-12,101,3.2
"Quinalt","Historic","Wild",1955-04-17,106,4.27
"Quinalt","Historic","Wild",1955-04-22,111,2.63
