"year","population","sportCatch","tribalCatchLim","tribalCatch","sportCatchLim","catchLim","catchTot","Estimate_R","Estimate_P","LowerValue_R","LowerValue_P","UpperValue_R","UpperValue_P","expansion","runSizeEst","runSizeUp","runSizeLow"
1948,"Quillayute",364,836,887,343.071025930101,1179.0710259301,1251,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,6702.30106243751,9382.58405208007,4969.81599368781
1948,"Queets",151.2,2852,3052,141.291743119266,2993.29174311927,3203.2,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,14210.2493368271,23506.336253437,9312.22141610299
1948,"Hoh",381.6,1033,1066,369.786866791745,1402.78686679174,1447.6,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,7118.39884100709,11131.9161285927,4033.56183695162
1948,"Quinalt",241.2,2205,2325,228.750967741935,2433.75096774194,2566.2,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,8409.18969581905,12395.9799594138,5718.13580552143
1949,"Quillayute",930,4519,4873,862.439975374513,5381.43997537451,5803,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,30590.2104887568,42823.3853430034,22682.9138113964
1949,"Queets",532.8,4681,4804,519.158368026644,5200.15836802664,5336.8,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,24687.0513609345,40836.87179873,16177.850432782
1949,"Hoh",1008,3461,3461,1008,4469,4469,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,22677.8031456888,35464.0710975992,12850.12590014
1949,"Quinalt",378,4858,5092,360.629222309505,5218.62922230951,5470,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,18031.6078613671,26580.3790580019,12261.2506404117
1950,"Quillayute",1269.2,4181,4209,1260.75675932526,5441.75675932526,5478.2,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,30933.0746896959,43303.3626155537,22937.1506732764
1950,"Queets",129,4308,4365,127.315463917526,4435.31546391753,4494,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,21056.0627024192,34830.5563347022,13798.4009561409
1950,"Hoh",741,1759,1765,738.481019830028,2497.48101983003,2506,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,12673.390675274,19818.9403562669,7181.23641486369
1950,"Quinalt",251.4,2068,2097,247.923319027182,2315.92331902718,2348.4,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,8002.06708443125,11795.8408361048,5441.29790964528
1951,"Quillayute",1967.8,4156,4176,1958.37567049808,6114.37567049808,6143.8,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,34756.5037654914,48655.7996870349,25772.2574216309
1951,"Queets",184.2,4176,4502,170.861661483785,4346.86166148378,4686.2,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,20636.1401906015,34135.928145625,13523.2184934716
1951,"Hoh",1137.6,2041,2065,1124.37849878935,3165.37849878935,3202.6,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,16062.6159044844,25119.0888637004,9101.70334102465
1951,"Quinalt",561,8239,8565,539.647285464098,8778.6472854641,9126,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,30332.3188258028,44712.8474785321,20625.568528743
1952,"Quillayute",1672.8,1479,1716,1441.76643356643,2920.76643356643,3388.8,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,16602.7792561367,23242.311919092,12311.1088442822
1952,"Queets",1091.4,3808,4229,982.750342870655,4790.75034287066,5320.4,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,22743.4419111246,37621.7883621441,14904.1696468894
1952,"Hoh",1560.6,1164,1193,1522.6642078793,2686.6642078793,2753.6,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,13633.3949485018,21320.2171590079,7725.21220018993
1952,"Quinalt",425.4,8253,8712,402.987396694215,8655.98739669421,9137.4,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,29908.4996732249,44088.095996902,20337.3772095929
1953,"Quillayute",2848.2,1415,1697,2374.89864466706,3789.89864466706,4545.2,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,21543.2668211358,30158.5246354456,15974.5244217702
1953,"Queets",474.6,4623,5224,419.999196018377,5042.99919601838,5698.6,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,23940.9593620706,39602.6999706648,15688.9234811487
1953,"Hoh",912,2145,2147,911.150442477876,3056.15044247788,3059,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,15508.3414898462,24252.3017625855,8787.62988489801
1953,"Quinalt",496.8,3207,3262,488.423543838136,3695.42354383814,3758.8,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,12768.56917508,18822.1378432424,8682.45517420104
1954,"Quillayute",3742.4,662,944,2624.43728813559,3286.43728813559,4686.4,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,18681.3954744837,26152.1769339537,13852.4213025624
1954,"Queets",803.4,10364,13182,631.652071005917,10995.6520710059,13985.4,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,52200.3770294594,86348.9152038087,34207.8071524479
1954,"Hoh",961.2,1841,2402,736.70657785179,2577.70657785179,3363.2,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,13080.4928037301,20455.5760451298,7411.91632557943
1954,"Quinalt",927,3319,5127,600.100058513751,3919.10005851375,6054,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,13541.4248482108,19961.4037870719,9207.98662929792
1955,"Quillayute",2848.6,1127,1393,2304.64623115578,3431.64623115578,4241.6,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,19506.8199244755,27307.6926603501,14464.4808914909
1955,"Queets",756,3487,4427,595.475943076576,4082.47594307658,5183,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,19381.0046067417,32059.7056685569,12700.7065032111
1955,"Hoh",1052.4,2864,2934,1027.29161554192,3891.29161554192,3986.4,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,19746.2397045712,30879.6246397562,11188.9879556663
1955,"Quinalt",543,1920,2314,450.544511668107,2370.54451166811,2857,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,8190.79632436477,12074.0464612121,5569.6312525058
1956,"Quillayute",3797.6,199,247,3059.6048582996,3258.6048582996,4044.6,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,18523.185052925,25930.6973906803,13735.1068644156
1956,"Queets",412.8,2148,2554,347.178700078309,2495.17870007831,2966.8,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,11845.5247636849,19594.6518314762,7762.57662865154
1956,"Hoh",1274.4,3656,3856,1208.30041493776,4864.30041493776,5130.4,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,24683.7429517679,38601.0059868951,13986.7694670068
1956,"Quinalt",662.4,1571,1698,612.856537102473,2183.85653710247,2360.4,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,7545.74487380193,11123.176622,5131.00494851116
1957,"Quillayute",2417.2,1154,1438,1939.81140472879,3093.81140472879,3855.2,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,17586.4345818674,24619.3358226688,13040.4980383144
1957,"Queets",246.6,2734,3896,173.050410677618,2907.05041067762,4142.6,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,13800.8302282644,22829.082603178,9043.92201469567
1957,"Hoh",803.4,2561,2856,720.415756302521,3281.41575630252,3659.4,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,16651.4434013403,26039.9108709543,9435.35591836886
1957,"Quinalt",333,1919,2616,244.276376146789,2163.27637614679,2949,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,7474.63551226877,11018.354367731,5082.65153980013
1958,"Quillayute",2881.2,1819,2243,2336.55942933571,4155.55942933571,5124.2,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,23621.8257982281,33068.3095179948,17515.7944351498
1958,"Queets",375.6,2454,2822,326.620269312544,2780.62026931254,3197.6,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,13200.6201630017,21836.2260190082,8650.5940095765
1958,"Hoh",654,2311,2633,574.019749335359,2885.01974933536,3287,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,14639.9440471809,22894.2818322683,8295.56209517781
1958,"Quinalt",667.2,2094,2758,506.568817984046,2600.56881798405,3425.2,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,8985.58513065525,13245.6440194931,6110.07694293146
1959,"Quillayute",2918.6,1819,2118,2506.57856468366,4325.57856468366,5036.6,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,24588.2810892301,34421.255008794,18232.4296500798
1959,"Queets",302.4,2787,3184,264.694974874372,3051.69497487437,3486.4,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,14487.5108123329,23964.9771483911,9493.91564178938
1959,"Hoh",829.8,2221,2511,733.964874551971,2954.96487455197,3340.8,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,14994.8784353355,23449.3364068068,8496.68173382953
1959,"Quinalt",275.4,2618,2977,242.189183742022,2860.18918374202,3252.4,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,9882.63537675432,14567.9850862858,6720.05903598868
1960,"Quillayute",3718.4,1512,1512,3718.4,5230.4,5230.4,0.229579221212752,0.766272882849445,0.204995373570179,0.613018306279556,0.258009059121795,0.919527459419334,5.68439128351106,29731.6401692762,41621.4685517248,22046.2762647224
1960,"Queets",405,899,899,405,1304,1304,0.309378867111093,0.680858250681945,0.233785413951468,0.544686600545556,0.393421240463583,0.817029900818334,4.74736529424252,6190.56434369225,10240.3190550813,4056.78355760408
1960,"Hoh",868.2,2193,2193,868.2,3061.2,3061.2,0.239146252728596,0.824035256438912,0.191155142181891,0.65922820515113,0.351702886321471,0.988842307726695,5.07446926509035,15533.9653142946,24292.3728896779,8802.14934112967
1960,"Quinalt",388.2,4131,4226,379.473308092759,4510.47330809276,4614.2,0.385342347745214,0.751061064928275,0.326760864271257,0.60084885194262,0.472242616916751,0.901273277913929,3.45523835728402,15584.7603836279,22973.4831031066,10597.4272900993
